# sample workload trace — op,key per line
# ops: add/insert, remove/delete, search/get
# story: 40 keys arrive, traffic favors 3 hot keys, then the hot set MOVES
add,0
add,1
add,2
add,3
add,4
add,5
add,6
add,7
add,8
add,9
add,10
add,11
add,12
add,13
add,14
add,15
add,16
add,17
add,18
add,19
add,20
add,21
add,22
add,23
add,24
add,25
add,26
add,27
add,28
add,29
add,30
add,31
add,32
add,33
add,34
add,35
add,36
add,37
add,38
add,39
search,3
search,6
search,38
search,2
search,35
search,31
search,37
search,1
search,1
search,1
search,3
search,2
search,2
search,2
search,32
search,3
search,3
search,2
search,3
search,36
search,3
search,2
search,2
search,35
search,1
remove,27
add,27
search,3
search,25
search,16
search,36
search,30
search,1
search,1
search,33
search,6
search,27
search,2
search,7
search,2
search,3
search,34
search,2
search,2
search,3
search,2
search,25
search,2
search,0
search,3
search,29
search,31
remove,23
add,23
search,16
search,2
search,2
search,35
search,1
search,20
search,1
search,3
search,32
search,1
search,30
search,17
search,23
search,3
search,9
search,1
search,2
search,1
search,1
search,3
search,3
search,22
search,2
search,3
search,31
remove,8
add,8
search,2
search,3
search,32
search,2
search,1
search,37
search,2
search,1
search,1
search,1
search,1
search,2
search,1
search,2
search,2
search,1
search,2
search,1
search,3
search,3
search,3
search,3
search,2
search,3
search,2
remove,34
add,34
search,3
search,3
search,3
search,1
search,3
search,3
search,8
search,1
search,2
search,1
search,1
search,2
search,2
search,1
search,2
search,3
search,17
search,13
search,1
search,21
search,3
search,1
search,1
search,3
search,3
remove,13
add,13
search,3
search,3
search,36
search,2
search,1
search,2
search,2
search,3
search,2
search,11
search,1
search,2
search,1
search,2
search,2
search,2
search,16
search,1
search,1
search,1
search,3
search,2
search,2
search,3
search,2
remove,25
add,25
search,1
search,2
search,7
search,3
search,2
search,2
search,3
search,1
search,2
search,1
search,2
search,1
search,2
search,1
search,7
search,1
search,1
search,3
search,3
search,2
search,2
search,2
search,2
search,1
search,1
remove,34
add,34
search,2
search,9
search,1
search,2
search,2
search,3
search,1
search,3
search,32
search,21
search,3
search,3
search,15
search,1
search,1
search,25
search,23
search,14
search,2
search,1
search,2
search,3
search,37
search,1
search,1
remove,31
add,31
search,22
search,33
search,2
search,30
search,32
search,8
search,6
search,1
search,32
search,32
search,31
search,32
search,10
search,6
search,32
search,32
search,30
search,12
search,31
search,31
search,31
search,32
search,32
search,31
search,32
remove,10
add,10
search,1
search,32
search,30
search,32
search,32
search,30
search,4
search,30
search,32
search,30
search,31
search,32
search,31
search,32
search,31
search,7
search,30
search,29
search,22
search,30
search,19
search,32
search,31
search,32
search,32
remove,31
add,31
search,30
search,31
search,32
search,22
search,32
search,30
search,32
search,30
search,31
search,20
search,31
search,32
search,30
search,30
search,30
search,32
search,31
search,32
search,26
search,32
search,31
search,34
search,31
search,31
search,31
remove,11
add,11
search,32
search,8
search,32
search,31
search,30
search,30
search,7
search,31
search,30
search,32
search,32
search,32
search,32
search,6
search,30
search,13
search,30
search,5
search,32
search,32
search,30
search,31
search,32
search,14
search,30
remove,21
add,21
search,31
search,31
search,31
search,2
search,30
search,31
search,31
search,31
search,32
search,30
search,31
search,32
search,31
search,39
search,32
search,38
search,31
search,31
search,32
search,11
search,33
search,31
search,32
search,1
search,30
remove,27
add,27
search,32
search,30
search,17
search,31
search,32
search,20
search,32
search,32
search,12
search,32
search,9
search,8
search,36
search,32
search,17
search,11
search,32
search,30
search,30
search,30
search,31
search,31
search,1
search,32
search,32
remove,5
add,5
search,32
search,31
search,32
search,30
search,31
search,32
search,31
search,30
search,30
search,5
search,31
search,30
search,32
search,13
search,32
search,27
search,29
search,13
search,28
search,35
search,30
search,13
search,7
search,22
search,39
remove,10
add,10
search,30
search,30
search,27
search,30
search,32
search,18
search,25
search,32
search,31
search,31
search,6
search,35
search,31
search,32
search,30
search,35
search,31
search,5
search,31
search,32
search,6
search,18
search,32
search,32
search,36
remove,6
add,6
