model,series,t,value
"Island richness (c=0.122, e=0.200, pool=90)",S,0,0.000000
"Island richness (c=0.122, e=0.200, pool=90)",S,1,9.411553
"Island richness (c=0.122, e=0.200, pool=90)",S,2,16.229837
"Island richness (c=0.122, e=0.200, pool=90)",S,3,21.169404
"Island richness (c=0.122, e=0.200, pool=90)",S,4,24.747917
"Island richness (c=0.122, e=0.200, pool=90)",S,5,27.340404
"Island richness (c=0.122, e=0.200, pool=90)",S,6,29.218554
"Island richness (c=0.122, e=0.200, pool=90)",S,7,30.579197
"Island richness (c=0.122, e=0.200, pool=90)",S,8,31.564927
"Island richness (c=0.122, e=0.200, pool=90)",S,9,32.279047
"Island richness (c=0.122, e=0.200, pool=90)",S,10,32.796399
"Island richness (c=0.122, e=0.200, pool=90)",S,11,33.171199
"Island richness (c=0.122, e=0.200, pool=90)",S,12,33.442726
"Island richness (c=0.122, e=0.200, pool=90)",S,13,33.639436
"Island richness (c=0.122, e=0.200, pool=90)",S,14,33.781944
"Island richness (c=0.122, e=0.200, pool=90)",S,15,33.885186
"Island richness (c=0.122, e=0.200, pool=90)",S,16,33.959980
"Island richness (c=0.122, e=0.200, pool=90)",S,17,34.014166
"Island richness (c=0.122, e=0.200, pool=90)",S,18,34.053421
"Island richness (c=0.122, e=0.200, pool=90)",S,19,34.081859
"Island richness (c=0.122, e=0.200, pool=90)",S,20,34.102462
"Island richness (c=0.122, e=0.200, pool=90)",S,21,34.117388
"Island richness (c=0.122, e=0.200, pool=90)",S,22,34.128201
"Island richness (c=0.122, e=0.200, pool=90)",S,23,34.136035
"Island richness (c=0.122, e=0.200, pool=90)",S,24,34.141710
"Island richness (c=0.122, e=0.200, pool=90)",S,25,34.145821
"Island richness (c=0.122, e=0.200, pool=90)",S,26,34.148800
"Island richness (c=0.122, e=0.200, pool=90)",S,27,34.150958
"Island richness (c=0.122, e=0.200, pool=90)",S,28,34.152521
"Island richness (c=0.122, e=0.200, pool=90)",S,29,34.153653
"Island richness (c=0.122, e=0.200, pool=90)",S,30,34.154474
"Island richness (c=0.122, e=0.200, pool=90)",S,31,34.155068
"Island richness (c=0.122, e=0.200, pool=90)",S,32,34.155499
"Island richness (c=0.122, e=0.200, pool=90)",S,33,34.155811
"Island richness (c=0.122, e=0.200, pool=90)",S,34,34.156037
"Island richness (c=0.122, e=0.200, pool=90)",S,35,34.156201
"Island richness (c=0.122, e=0.200, pool=90)",S,36,34.156319
"Island richness (c=0.122, e=0.200, pool=90)",S,37,34.156405
"Island richness (c=0.122, e=0.200, pool=90)",S,38,34.156467
"Island richness (c=0.122, e=0.200, pool=90)",S,39,34.156512
"Island richness (c=0.122, e=0.200, pool=90)",S,40,34.156545
"Island richness (c=0.122, e=0.200, pool=90)",S,41,34.156569
"Island richness (c=0.122, e=0.200, pool=90)",S,42,34.156586
"Island richness (c=0.122, e=0.200, pool=90)",S,43,34.156598
"Island richness (c=0.122, e=0.200, pool=90)",S,44,34.156607
"Island richness (c=0.122, e=0.200, pool=90)",S,45,34.156614
"Island richness (c=0.122, e=0.200, pool=90)",S,46,34.156619
"Island richness (c=0.122, e=0.200, pool=90)",S,47,34.156622
"Island richness (c=0.122, e=0.200, pool=90)",S,48,34.156625
"Island richness (c=0.122, e=0.200, pool=90)",S,49,34.156626
"Island richness (c=0.122, e=0.200, pool=90)",S,50,34.156628
"Island richness (c=0.122, e=0.200, pool=90)",S,51,34.156629
"Island richness (c=0.122, e=0.200, pool=90)",S,52,34.156629
"Island richness (c=0.122, e=0.200, pool=90)",S,53,34.156630
"Island richness (c=0.122, e=0.200, pool=90)",S,54,34.156630
"Island richness (c=0.122, e=0.200, pool=90)",S,55,34.156630
"Island richness (c=0.122, e=0.200, pool=90)",S,56,34.156631
